,commodity,crawl_date,totalWeightSum
0,Strawberries,2020-07-20 01:30:03.591,275248
1,Strawberries,2020-07-20 01:30:03.585,1788248
2,Strawberries,2020-07-20 01:30:03.589,672688
3,Strawberries,2020-07-20 01:30:03.588,4038904
4,Strawberries,2020-07-20 01:35:47.691,624
5,Strawberries,2020-07-20 01:35:47.618,324224
6,Strawberries,2020-07-20 01:35:47.616,2061032
7,Strawberries,2020-07-20 01:35:47.620,787272
8,Strawberries,2020-07-20 01:35:47.614,4808720
9,Strawberries,2020-07-20 01:35:44.694,366304
10,Strawberries,2020-07-20 01:35:44.691,2342312
11,Strawberries,2020-07-20 01:35:44.693,838392
12,Strawberries,2020-07-20 01:35:44.689,5446800
13,Strawberries,2020-07-20 01:35:41.798,1080
14,Strawberries,2020-07-20 01:35:41.719,384696
15,Strawberries,2020-07-20 01:35:41.714,2526256
16,Strawberries,2020-07-20 01:35:41.717,836416
17,Strawberries,2020-07-20 01:35:41.715,5286776
18,Strawberries,2020-07-20 01:35:39.107,3456
19,Strawberries,2020-07-20 01:35:39.104,23632
20,Strawberries,2020-07-20 01:35:39.105,68912
21,Strawberries,2020-07-20 01:35:36.100,21088
22,Strawberries,2020-07-20 01:35:36.098,1220
23,Strawberries,2020-07-20 01:35:35.942,239896
24,Strawberries,2020-07-20 01:35:35.938,1751672
25,Strawberries,2020-07-20 01:35:35.940,570560
26,Strawberries,2020-07-20 01:35:35.936,3650408
27,Strawberries,2020-07-20 01:35:31.983,295920
28,Strawberries,2020-07-20 01:35:31.978,1827640
29,Strawberries,2020-07-20 01:35:31.981,642160
30,Strawberries,2020-07-20 01:35:31.979,4275632
31,Strawberries,2020-07-20 01:35:28.855,275352
32,Strawberries,2020-07-20 01:35:28.854,1707224
33,Strawberries,2020-07-20 01:35:28.857,679472
34,Strawberries,2020-07-20 01:35:28.852,4207936
35,Strawberries,2020-07-20 01:35:25.685,221800
36,Strawberries,2020-07-20 01:35:25.684,1969616
37,Strawberries,2020-07-20 01:35:25.687,872520
38,Strawberries,2020-07-20 01:35:25.682,4961376
39,Strawberries,2020-07-20 01:35:22.647,386744
40,Strawberries,2020-07-20 01:35:22.644,2198096
41,Strawberries,2020-07-20 01:35:22.649,934528
42,Strawberries,2020-07-20 01:35:22.646,5458616
43,Strawberries,2020-07-20 01:35:19.385,356096
44,Strawberries,2020-07-20 01:35:19.381,2336376
45,Strawberries,2020-07-20 01:35:19.386,831944
46,Strawberries,2020-07-20 01:35:19.383,5234840
47,Strawberries,2020-07-20 01:35:16.573,13968
48,Strawberries,2020-07-20 01:35:16.571,107808
49,Strawberries,2020-07-20 01:35:16.569,13904
50,Strawberries,2020-07-20 01:35:13.446,41862
51,Strawberries,2020-07-20 01:35:12.669,10067
52,Strawberries,2020-07-20 01:35:12.671,2264
53,Strawberries,2020-07-20 01:35:12.548,258848
