start_time_datetime,(All),,,
,,,,
Row Labels,Sum of start_time_hour,Count of start_time_datetime,Sum of duration_second,Sum of totalWeightSum
1 AM,,,,
:21,,,,
:32,2,2,64,459120
Strawberries,2,2,64,459120
Jan,2,2,64,459120
:35,7,7,245,2529976
Strawberries,7,7,245,2529976
Jan,7,7,245,2529976
:36,4,4,144,2444665
Strawberries,4,4,144,2444665
Jan,4,4,144,2444665
:39,7,7,273,2724960
Strawberries,7,7,273,2724960
Jan,7,7,273,2724960
:40,4,4,160,3372646
Strawberries,4,4,160,3372646
Jan,4,4,160,3372646
:46,6,6,274,967867
Strawberries,6,6,274,967867
Jan,6,6,274,967867
:47,2,2,94,514584
Strawberries,2,2,94,514584
Jan,2,2,94,514584
:48,4,4,192,2413940
Strawberries,4,4,192,2413940
Jan,4,4,192,2413940
:49,2,2,96,2560
Strawberries,2,2,96,2560
Jan,2,2,96,2560
:51,3,3,152,1040696
Strawberries,3,3,152,1040696
Jan,3,3,152,1040696
:52,4,4,204,1179351
Strawberries,4,4,204,1179351
Jan,4,4,204,1179351
:55,6,6,325,2646752
Strawberries,6,6,325,2646752
Jan,6,6,325,2646752
:56,4,4,220,2232851
Strawberries,4,4,220,2232851
Jan,4,4,220,2232851
:59,6,6,352,2579896
Strawberries,6,6,352,2579896
Jan,6,6,352,2579896
:22,,,,
:00,4,4,0,2281054
Strawberries,4,4,0,2281054
Jan,4,4,0,2281054
:03,3,3,9,227368
Strawberries,3,3,9,227368
Jan,3,3,9,227368
:04,4,4,12,2098688
Strawberries,4,4,12,2098688
Jan,4,4,12,2098688
:05,4,4,16,1738962
Strawberries,4,4,16,1738962
Jan,4,4,16,1738962
:08,6,6,48,2041904
Strawberries,6,6,48,2041904
Jan,6,6,48,2041904
:09,4,4,36,2035374
Strawberries,4,4,36,2035374
Jan,4,4,36,2035374
:12,2,2,24,175920
Strawberries,2,2,24,175920
Jan,2,2,24,175920
:13,8,8,100,4341497
Strawberries,8,8,100,4341497
Jan,8,8,100,4341497
:19,2,2,38,65832
Strawberries,2,2,38,65832
Jan,2,2,38,65832
:20,4,4,76,667617
Strawberries,4,4,76,667617
Jan,4,4,76,667617
:21,5,5,103,1596900
Strawberries,5,5,103,1596900
Jan,5,5,103,1596900
:22,4,4,88,2254232
Strawberries,4,4,88,2254232
Jan,4,4,88,2254232
:23,1,1,22,1346
Strawberries,1,1,22,1346
Jan,1,1,22,1346
:25,6,6,148,2660284
Strawberries,6,6,148,2660284
Jan,6,6,148,2660284
:28,2,2,56,234720
Strawberries,2,2,56,234720
Jan,2,2,56,234720
:29,4,4,112,2400552
Strawberries,4,4,112,2400552
Jan,4,4,112,2400552
:30,5,5,145,3128142
